Titulo,Empresa,Ciudad,Link
Psicólogo Experiencia de 2 años en Temporalidad,Importante empresa del sector,"Bogotá, D.C., Bogotá, D.C.",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-psicologo-experiencia-de-2-anos-en-temporalidad-contratacion-inmediata-en-bogota-dc-14308BB4B538848A61373E686DCF3405#lc=ListOffers-Score4-0
Practicante de Gestion Humana,Multiempleos S.A.,"Valle del Cauca, Cali",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-gestion-humana-en-cali-9F7D2A36A45536BC61373E686DCF3405#lc=ListOffers-Score4-1
Asesor comercial call center,GESTHION ORGANIZACIONAL SAS,"Bogotá, D.C., Bogotá, D.C.",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-call-center-en-bogota-dc-B7A8FF5B87BCD4CC61373E686DCF3405#lc=ListOffers-Score1-2
Auxiliar de ingenieria,GESTHION ORGANIZACIONAL SAS,"Cundinamarca, Cota",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-ingenieria-en-cota-6D9E93D859F592C961373E686DCF3405#lc=ListOffers-Score1-3
Convocatoria asesores comerciales,GESTHION ORGANIZACIONAL SAS,"Bogotá, D.C., Bogotá, D.C.",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-convocatoria-asesores-comerciales-agencia-de-seguros-en-bogota-dc-6D8414EAED1F258A61373E686DCF3405#lc=ListOffers-Score1-4
