Titulo,Empresa,Ciudad,Link
Psicólogo clínico con Especialización/ Jornada Medio Tiempo,Corporación Universitaria Minuto de Dios,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-psicologo-clinico-con-especializacion-jornada-medio-tiempo-consulta-de-adicciones-yo-psicoterapia-en-medellin-573DE64FF208F76661373E686DCF3405#lc=ListOffers-Score5-4
Psicólogo Clínico,Sumimedical,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-psicologo-clinico-experiencia-sector-salud-en-medellin-E86B48FD8254EC6761373E686DCF3405#lc=ListOffers-Score2-8
